age,citizenship,event_location_district,event_location_region,gender,took_part_in_the_hostilities,place_of_residence_district,type_of_injury,ammunition,killed_by,event_year,event_month
39.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
29.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
7.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
11.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
1.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
52.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
5.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
23.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
49.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
13.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
4.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
30.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
25.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
1.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
18.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
56.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
23.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
55.0,Palestinian,Deir al-Balah,Gaza Strip,F,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
32.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
26.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2014,7
42.0,Palestinian,Rafah,Gaza Strip,M,0.0,Rafah,gunfire,missile,Israeli security forces,2014,7
21.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
28.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
25.0,Palestinian,Gaza,Gaza Strip,M,1.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
26.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,Unknown,Israeli security forces,2014,7
21.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
23.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
4.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
20.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2014,7
19.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,missile,Israeli security forces,2014,7
14.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2014,7
31.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
27.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
38.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
11.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
24.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
37.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,Gaza,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
7.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,live ammunition,Israeli security forces,2014,7
21.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
24.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
30.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
67.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
18.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
18.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
42.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,Deir al-Balah,Gaza Strip,F,0.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
23.0,Palestinian,Deir al-Balah,Gaza Strip,F,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
36.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
17.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
19.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
19.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,missile,Israeli security forces,2014,7
32.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,Unknown,Israeli security forces,2014,7
28.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
53.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
23.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,missile,Israeli security forces,2014,7
23.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,missile,Israeli security forces,2014,7
11.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
64.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,live ammunition,Israeli security forces,2014,7
65.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
4.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
25.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,shell,Israeli security forces,2014,7
30.0,Palestinian,Deir al-Balah,Gaza Strip,F,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
45.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
39.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
12.0,Palestinian,Rafah,Gaza Strip,M,0.0,Rafah,gunfire,Unknown,Israeli security forces,2014,7
14.0,Palestinian,Rafah,Gaza Strip,M,0.0,Rafah,gunfire,Unknown,Israeli security forces,2014,7
47.0,Palestinian,Rafah,Gaza Strip,M,1.0,Rafah,gunfire,Unknown,Israeli security forces,2014,7
19.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
12.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
25.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
12.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
3.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
14.0,Palestinian,Deir al-Balah,Gaza Strip,F,0.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
34.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
20.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
24.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
36.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
21.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
51.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
18.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
19.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
22.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
24.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
16.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
25.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
19.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
23.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
22.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
23.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
17.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
1.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
55.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
25.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
49.0,Palestinian,Rafah,Gaza Strip,M,0.0,Rafah,gunfire,missile,Israeli security forces,2014,7
32.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
31.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,missile,Israeli security forces,2014,7
24.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
19.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
26.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
58.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
54.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
36.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
17.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
51.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
47.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2014,7
16.0,Palestinian,Gaza,Gaza Strip,M,0.0,Gaza,gunfire,missile,Israeli security forces,2014,7
19.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
67.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
37.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
42.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
19.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
16.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
20.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
44.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
38.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
34.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
25.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
24.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
18.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
26.0,Palestinian,Deir al-Balah,Gaza Strip,M,1.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
22.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
39.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
21.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
47.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
15.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
12.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
16.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
40.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
58.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
17.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
9.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,shell,Israeli security forces,2014,7
14.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
77.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
7.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
19.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
23.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
27.0,Palestinian,Deir al-Balah,Gaza Strip,F,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
18.0,Palestinian,Deir al-Balah,Gaza Strip,M,0.0,Deir al-Balah,gunfire,Unknown,Israeli security forces,2014,7
24.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
66.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
20.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
52.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
25.0,Palestinian,Gaza,Gaza Strip,M,1.0,Gaza,gunfire,Unknown,Israeli security forces,2014,7
54.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
45.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
44.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
4.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
31.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
55.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
66.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
32.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
12.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
22.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
37.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
17.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
59.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
7.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
15.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
14.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,missile,Israeli security forces,2014,7
48.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
34.0,Palestinian,North Gaza,Gaza Strip,M,1.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
27.0,Palestinian,Khan Yunis,Gaza Strip,M,1.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
12.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
45.0,Palestinian,Khan Yunis,Gaza Strip,F,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
10.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
12.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
17.0,Palestinian,North Gaza,Gaza Strip,F,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
1.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
3.0,Palestinian,North Gaza,Gaza Strip,M,0.0,North Gaza,gunfire,Unknown,Israeli security forces,2014,7
45.0,Palestinian,Khan Yunis,Gaza Strip,M,0.0,Khan Yunis,gunfire,Unknown,Israeli security forces,2014,7
